"11","110000","北京市","0","1"
"12","110100","市辖区","110000","2"
"13","110101","东城区","110100","3"
"14","110102","西城区","110100","3"
"15","110105","朝阳区","110100","3"
"16","110106","丰台区","110100","3"
"17","110107","石景山区","110100","3"
"18","110108","海淀区","110100","3"
"19","110109","门头沟区","110100","3"
"20","110111","房山区","110100","3"
"21","110112","通州区","110100","3"
"22","110113","顺义区","110100","3"
"23","110114","昌平区","110100","3"
"24","110115","大兴区","110100","3"
"25","110116","怀柔区","110100","3"
"26","110117","平谷区","110100","3"
"27","110118","密云区","110100","3"
"28","110119","延庆区","110100","3"
"29","120000","天津市","0","1"
"30","120100","市辖区","120000","2"
"31","120101","和平区","120100","3"
"32","120102","河东区","120100","3"
"33","120103","河西区","120100","3"
"34","120104","南开区","120100","3"
"35","120105","河北区","120100","3"
"36","120106","红桥区","120100","3"
"37","120110","东丽区","120100","3"
"38","120111","西青区","120100","3"
"39","120112","津南区","120100","3"
"40","120113","北辰区","120100","3"
"41","120114","武清区","120100","3"
"42","120115","宝坻区","120100","3"
"43","120116","滨海新区","120100","3"
"44","120117","宁河区","120100","3"
"45","120118","静海区","120100","3"
"46","120119","蓟州区","120100","3"
"47","130000","河北省","0","1"
"48","130100","石家庄市","130000","2"
"49","130101","市辖区","130100","3"
"50","130102","长安区","130100","3"
"51","130104","桥西区","130100","3"
"52","130105","新华区","130100","3"
"53","130107","井陉矿区","130100","3"
"54","130108","裕华区","130100","3"
"55","130109","藁城区","130100","3"
"56","130110","鹿泉区","130100","3"
"57","130111","栾城区","130100","3"
"58","130121","井陉县","130100","3"
"59","130123","正定县","130100","3"
"60","130125","行唐县","130100","3"
"61","130126","灵寿县","130100","3"
"62","130127","高邑县","130100","3"
"63","130128","深泽县","130100","3"
"64","130129","赞皇县","130100","3"
"65","130130","无极县","130100","3"
"66","130131","平山县","130100","3"
"67","130132","元氏县","130100","3"
"68","130133","赵县","130100","3"
"69","130183","晋州市","130100","3"
"70","130184","新乐市","130100","3"
"71","130200","唐山市","130000","2"
"72","130201","市辖区","130200","3"
"73","130202","路南区","130200","3"
"74","130203","路北区","130200","3"
"75","130204","古冶区","130200","3"
"76","130205","开平区","130200","3"
"77","130207","丰南区","130200","3"
"78","130208","丰润区","130200","3"
"79","130209","曹妃甸区","130200","3"
"80","130223","滦县","130200","3"
"81","130224","滦南县","130200","3"
"82","130225","乐亭县","130200","3"
"83","130227","迁西县","130200","3"
"84","130229","玉田县","130200","3"
"85","130281","遵化市","130200","3"
"86","130283","迁安市","130200","3"
"87","130300","秦皇岛市","130000","2"
"88","130301","市辖区","130300","3"
"89","130302","海港区","130300","3"
"90","130303","山海关区","130300","3"
"91","130304","北戴河区","130300","3"
"92","130306","抚宁区","130300","3"
"93","130321","青龙满族自治县","130300","3"
"94","130322","昌黎县","130300","3"
"95","130324","卢龙县","130300","3"
"96","130400","邯郸市","130000","2"
"97","130401","市辖区","130400","3"
"98","130402","邯山区","130400","3"
"99","130403","丛台区","130400","3"
"100","130404","复兴区","130400","3"
"101","130406","峰峰矿区","130400","3"
"102","130421","邯郸县","130400","3"
"103","130423","临漳县","130400","3"
"104","130424","成安县","130400","3"
"105","130425","大名县","130400","3"
"106","130426","涉县","130400","3"
"107","130427","磁县","130400","3"
"108","130428","肥乡县","130400","3"
"109","130429","永年县","130400","3"
"110","130430","邱县","130400","3"
"111","130431","鸡泽县","130400","3"
"112","130432","广平县","130400","3"
"113","130433","馆陶县","130400","3"
"114","130434","魏县","130400","3"
"115","130435","曲周县","130400","3"
"116","130481","武安市","130400","3"
"117","130500","邢台市","130000","2"
"118","130501","市辖区","130500","3"
"119","130502","桥东区","130500","3"
"120","130503","桥西区","130500","3"
"121","130521","邢台县","130500","3"
"122","130522","临城县","130500","3"
"123","130523","内丘县","130500","3"
"124","130524","柏乡县","130500","3"
"125","130525","隆尧县","130500","3"
"126","130526","任县","130500","3"
"127","130527","南和县","130500","3"
"128","130528","宁晋县","130500","3"
"129","130529","巨鹿县","130500","3"
"130","130530","新河县","130500","3"
"131","130531","广宗县","130500","3"
"132","130532","平乡县","130500","3"
"133","130533","威县","130500","3"
"134","130534","清河县","130500","3"
"135","130535","临西县","130500","3"
"136","130581","南宫市","130500","3"
"137","130582","沙河市","130500","3"
"138","130600","保定市","130000","2"
"139","130601","市辖区","130600","3"
"140","130602","竞秀区","130600","3"
"141","130606","莲池区","130600","3"
"142","130607","满城区","130600","3"
"143","130608","清苑区","130600","3"
"144","130609","徐水区","130600","3"
"145","130623","涞水县","130600","3"
"146","130624","阜平县","130600","3"
"147","130626","定兴县","130600","3"
"148","130627","唐县","130600","3"
"149","130628","高阳县","130600","3"
"150","130629","容城县","130600","3"
"151","130630","涞源县","130600","3"
"152","130631","望都县","130600","3"
"153","130632","安新县","130600","3"
"154","130633","易县","130600","3"
"155","130634","曲阳县","130600","3"
"156","130635","蠡县","130600","3"
"157","130636","顺平县","130600","3"
"158","130637","博野县","130600","3"
"159","130638","雄县","130600","3"
"160","130681","涿州市","130600","3"
"161","130683","安国市","130600","3"
"162","130684","高碑店市","130600","3"
"163","130700","张家口市","130000","2"
"164","130701","市辖区","130700","3"
"165","130702","桥东区","130700","3"
"166","130703","桥西区","130700","3"
"167","130705","宣化区","130700","3"
"168","130706","下花园区","130700","3"
"169","130708","万全区","130700","3"
"170","130709","崇礼区","130700","3"
"171","130722","张北县","130700","3"
"172","130723","康保县","130700","3"
"173","130724","沽源县","130700","3"
"174","130725","尚义县","130700","3"
"175","130726","蔚县","130700","3"
"176","130727","阳原县","130700","3"
"177","130728","怀安县","130700","3"
"178","130730","怀来县","130700","3"
"179","130731","涿鹿县","130700","3"
"180","130732","赤城县","130700","3"
"181","130800","承德市","130000","2"
"182","130801","市辖区","130800","3"
